BOOTSTRAP_START
BOOTSTRAP_READY
USER_COUNT=13
id=1 | email=amar@gmail.com | name=عمار | active=yes | roles=employee | department=Information Technology (IT)
id=2 | email=safa@gmail.com | name=صفا | active=yes | roles=employee | department=Information Technology (IT)
id=3 | email=zaid@gmail.com | name=زياد | active=yes | roles=employee | department=Information Technology (IT)
id=4 | email=development.manager@ashbiliya.local | name=المهندس سعود | active=yes | roles=reviewer | department=التطوير (DEVELOPMENT)
id=5 | email=execution.manager@ashbiliya.local | name=م. كمال سعيد | active=yes | roles=reviewer | department=التنفيذ (EXECUTION)
id=6 | email=mostafa@gmail.com | name=مصطفى | active=yes | roles=reviewer | department=التراخيص (LICENSES)
id=7 | email=sales.manager@ashbiliya.local | name=المهندس عمرو | active=yes | roles=reviewer | department=المبيعات (SALES)
id=8 | email=ahmed@gmail.com | name=المهندس أحمد بدوي | active=yes | roles=procurement_manager | department=Operations (OPS)
id=9 | email=hasan@gmail.com | name=حسن | active=yes | roles=accountant | department=Operations (OPS)
id=10 | email=mohamed@gmail.com | name=المهندس محمد عبدالكريم | active=yes | roles=general_manager | department=Operations (OPS)
id=11 | email=admin@gmail.com | name=Admin | active=yes | roles=admin | department=Information Technology (IT)
id=12 | email=salam@ashbiliya.local | name=عم سلامة | active=yes | roles=warehouse_keeper | department=Operations (OPS)
id=13 | email=site.engineer@ashbiliya.local | name=مهندس الموقع | active=yes | roles=site_engineer | department=التنفيذ (EXECUTION)
